name	type	units	description	sampling_frequency	low_cutoff	high_cutoff	notch
Fp1	EEG	microV	n/a	200	0.5	50	60
Fp2	EEG	microV	n/a	200	0.5	50	60
F3 	EEG	microV	n/a	200	0.5	50	60
F4 	EEG	microV	n/a	200	0.5	50	60
C3 	EEG	microV	n/a	200	0.5	50	60
C4 	EEG	microV	n/a	200	0.5	50	60
P3 	EEG	microV	n/a	200	0.5	50	60
P4 	EEG	microV	n/a	200	0.5	50	60
O1 	EEG	microV	n/a	200	0.5	50	60
O2 	EEG	microV	n/a	200	0.5	50	60
F7 	EEG	microV	n/a	200	0.5	50	60
F8 	EEG	microV	n/a	200	0.5	50	60
T7 	EEG	microV	n/a	200	0.5	50	60
T8 	EEG	microV	n/a	200	0.5	50	60
P7 	EEG	microV	n/a	200	0.5	50	60
P8 	EEG	microV	n/a	200	0.5	50	60
Fz 	EEG	microV	n/a	200	0.5	50	60
Cz 	EEG	microV	n/a	200	0.5	50	60
Pz 	EEG	microV	n/a	200	0.5	50	60
F1 	EEG	microV	n/a	200	0.5	50	60
F2 	EEG	microV	n/a	200	0.5	50	60
P1 	EEG	microV	n/a	200	0.5	50	60
P2 	EEG	microV	n/a	200	0.5	50	60
AF3	EEG	microV	n/a	200	0.5	50	60
AF4	EEG	microV	n/a	200	0.5	50	60
P5 	EEG	microV	n/a	200	0.5	50	60
P6 	EEG	microV	n/a	200	0.5	50	60
FC5	EEG	microV	n/a	200	0.5	50	60
FC6	EEG	microV	n/a	200	0.5	50	60
C5 	EEG	microV	n/a	200	0.5	50	60
C6 	EEG	microV	n/a	200	0.5	50	60
TP7	EEG	microV	n/a	200	0.5	50	60
TP8	EEG	microV	n/a	200	0.5	50	60
PO5	EEG	microV	n/a	200	0.5	50	60
PO6	EEG	microV	n/a	200	0.5	50	60
FpZ	EEG	microV	n/a	200	0.5	50	60
FCZ	EEG	microV	n/a	200	0.5	50	60
CPZ	EEG	microV	n/a	200	0.5	50	60
POZ	EEG	microV	n/a	200	0.5	50	60
OZ 	EEG	microV	n/a	200	0.5	50	60
PO3	EEG	microV	n/a	200	0.5	50	60
PO4	EEG	microV	n/a	200	0.5	50	60
CP1	EEG	microV	n/a	200	0.5	50	60
CP2	EEG	microV	n/a	200	0.5	50	60
CP3	EEG	microV	n/a	200	0.5	50	60
CP4	EEG	microV	n/a	200	0.5	50	60
C1 	EEG	microV	n/a	200	0.5	50	60
C2 	EEG	microV	n/a	200	0.5	50	60
F6 	EEG	microV	n/a	200	0.5	50	60
F5 	EEG	microV	n/a	200	0.5	50	60
FC3	EEG	microV	n/a	200	0.5	50	60
FC4	EEG	microV	n/a	200	0.5	50	60
FC1	EEG	microV	n/a	200	0.5	50	60
FC2	EEG	microV	n/a	200	0.5	50	60
CP6	EEG	microV	n/a	200	0.5	50	60
CP5	EEG	microV	n/a	200	0.5	50	60
PO8	EEG	microV	n/a	200	0.5	50	60
PO7	EEG	microV	n/a	200	0.5	50	60
