onset	duration	trial_type	value	sample
0.005	0	discontinuity	2	1
0.005	0	eyes closed	65	1
32.915	0	discontinuity	2	6583
46.515	0	discontinuity	2	9303
98.035	0	discontinuity	2	19607
174.525	0	discontinuity	2	34905
602.415	0	eyes opened	66	120483
615.055	0	eyes closed	65	123011
635.965	0	eyes opened	66	127193
648.725	0	eyes closed	65	129745
670.855	0	eyes opened	66	134171
680.125	0	eyes closed	65	136025
692.285	0	eyes opened	66	138457
707.295	0	eyes closed	65	141459
727.615	0	eyes opened	66	145523
739.245	0	eyes closed	65	147849
748.175	0	eyes opened	66	149635
760.305	0	eyes closed	65	152061
810.175	0	eyes opened	66	162035
824.135	0	eyes closed	65	164827
850.635	0	eyes opened	66	170127
860.985	0	eyes closed	65	172197
883.385	0	eyes opened	66	176677
895.845	0	eyes closed	65	179169
919.975	0	eyes opened	66	183995
930.995	0	eyes closed	65	186199
946.525	0	eyes opened	66	189305
957.915	0	eyes closed	65	191583
968.085	0	eyes opened	66	193617
980.355	0	eyes closed	65	196071
995.325	0	eyes opened	66	199065
1007.375	0	eyes closed	65	201475
1025.455	0	eyes opened	66	205091
1037.255	0	eyes closed	65	207451
1063.485	0	eyes opened	66	212697
1075.945	0	eyes closed	65	215189
1093.275	0	eyes opened	66	218655
1105.095	0	eyes closed	65	221019
1120.275	0	eyes opened	66	224055
1132.055	0	eyes closed	65	226411
1143.465	0	eyes opened	66	228693
1156.555	0	eyes closed	65	231311
1173.015	0	eyes opened	66	234603
1184.125	0	eyes closed	65	236825
1203.595	0	eyes opened	66	240719
1216.465	0	eyes closed	65	243293
1243.595	0	eyes opened	66	248719
1255.025	0	eyes closed	65	251005
1266.425	0	eyes opened	66	253285
1278.535	0	eyes closed	65	255707
1291.475	0	eyes opened	66	258295
1303.105	0	eyes closed	65	260621
1343.335	0	eyes opened	66	268667
1357.745	0	eyes closed	65	271549
1374.255	0	eyes opened	66	274851
1387.795	0	eyes closed	65	277559
1403.515	0	hyperventilation 1	67	280703
1463.995	0	hyperventilation 2	68	292799
1526.605	0	hyperventilation 3	69	305321
1589.185	0	recuperation	70	317837
1728.655	0	discontinuity	2	345731
1736.145	0	discontinuity	2	347229
1748.715	0	discontinuity	2	349743
